OpenMP matrix multiplication experiment implemented for number of threads: 1.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             1,             2,   0.000004878,   0.000026720,   0.000038487,    0.000004376
             2,             1,             4,   0.000002507,   0.000023929,   0.000009652,    0.000003719
             3,             1,             8,   0.000003074,   0.000027236,   0.000005789,    0.000004967
             4,             1,            16,   0.000008492,   0.000040064,   0.000016039,    0.000015087
             5,             1,            32,   0.000017303,   0.000103056,   0.000126677,    0.000110023
             6,             1,            64,   0.000079986,   0.000351556,   0.000857386,    0.000662143
             7,             1,           128,   0.000209077,   0.000905720,   0.005338073,    0.004073410
OpenMP matrix multiplication experiment implemented for number of threads: 2.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             2,             2,   0.000000785,   0.000006558,   0.000038790,    0.000002068
             2,             2,             4,   0.000000922,   0.000006690,   0.000001539,    0.000001743
             3,             2,             8,   0.000000879,   0.000007600,   0.000002277,    0.000002163
             4,             2,            16,   0.000001300,   0.000011164,   0.000015504,    0.000006242
             5,             2,            32,   0.000002183,   0.000028659,   0.000038521,    0.000037703
             6,             2,            64,   0.000005652,   0.000097608,   0.000367136,    0.000412853
             7,             2,           128,   0.000067469,   0.000362834,   0.003648377,    0.003051837
OpenMP matrix multiplication experiment implemented for number of threads: 3.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             3,             2,   0.000000755,   0.000006440,   0.000036581,    0.000002090
             2,             3,             4,   0.000000919,   0.000006677,   0.000001981,    0.000001939
             3,             3,             8,   0.000000821,   0.000007537,   0.000002302,    0.000002565
             4,             3,            16,   0.000001653,   0.000011107,   0.000005852,    0.000005525
             5,             3,            32,   0.000002000,   0.000028616,   0.000091116,    0.000079670
             6,             3,            64,   0.000006347,   0.000097536,   0.000384979,    0.000315216
             7,             3,           128,   0.000065757,   0.000372856,   0.002636032,    0.002595734
OpenMP matrix multiplication experiment implemented for number of threads: 4.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             4,             2,   0.000000726,   0.000006438,   0.000039746,    0.000002034
             2,             4,             4,   0.000001058,   0.000006682,   0.000001840,    0.000001883
             3,             4,             8,   0.000000847,   0.000007515,   0.000002725,    0.000002144
             4,             4,            16,   0.000001932,   0.000011126,   0.000025274,    0.000022445
             5,             4,            32,   0.000001698,   0.000028597,   0.000029367,    0.000029134
             6,             4,            64,   0.000006041,   0.000097513,   0.000259048,    0.000208079
             7,             4,           128,   0.000063528,   0.000372846,   0.002039070,    0.001986937
OpenMP matrix multiplication experiment implemented for number of threads: 5.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             5,             2,   0.000000747,   0.000006582,   0.000025791,    0.000002419
             2,             5,             4,   0.000001047,   0.000007923,   0.000002461,    0.000002427
             3,             5,             8,   0.000001077,   0.000009180,   0.000002670,    0.000002694
             4,             5,            16,   0.000001450,   0.000014644,   0.000005070,    0.000004449
             5,             5,            32,   0.000002131,   0.000041044,   0.000152621,    0.000161757
             6,             5,            64,   0.000010664,   0.000142465,   0.000255852,    0.000252325
             7,             5,           128,   0.000071807,   0.000552967,   0.001212265,    0.000782483
OpenMP matrix multiplication experiment implemented for number of threads: 6.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             6,             2,   0.000000925,   0.000007655,   0.000029272,    0.000002463
             2,             6,             4,   0.000000948,   0.000007868,   0.000002067,    0.000002145
             3,             6,             8,   0.000000974,   0.000009215,   0.000002404,    0.000002492
             4,             6,            16,   0.000001592,   0.000014659,   0.000004259,    0.000004241
             5,             6,            32,   0.000002118,   0.000040479,   0.000043525,    0.000047239
             6,             6,            64,   0.000005167,   0.000142439,   0.000129645,    0.000136024
             7,             6,           128,   0.000068223,   0.000553765,   0.000684977,    0.000655269
OpenMP matrix multiplication experiment implemented for number of threads: 7.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             7,             2,   0.000000926,   0.000007603,   0.000030820,    0.000002400
             2,             7,             4,   0.000001037,   0.000007863,   0.000002107,    0.000002181
             3,             7,             8,   0.000001103,   0.000009178,   0.000002548,    0.000002493
             4,             7,            16,   0.000002015,   0.000014652,   0.000014438,    0.000012527
             5,             7,            32,   0.000002416,   0.000040495,   0.000011837,    0.000011814
             6,             7,            64,   0.000005777,   0.000142571,   0.000203515,    0.000062321
             7,             7,           128,   0.000069098,   0.000549712,   0.000635621,    0.000563369
OpenMP matrix multiplication experiment implemented for number of threads: 8.
    Experiment,       Threads,   Matrix size, Construct (s), Randomize (s),       Float 0,      Double 0,
             1,             8,             2,   0.000000911,   0.000007657,   0.000031498,    0.000002613
             2,             8,             4,   0.000001052,   0.000007910,   0.000002094,    0.000002188
             3,             8,             8,   0.000001148,   0.000009194,   0.000002589,    0.000002322
             4,             8,            16,   0.000002277,   0.000014690,   0.000003352,    0.000003253
             5,             8,            32,   0.000002609,   0.000040470,   0.000084443,    0.000027731
             6,             8,            64,   0.000006279,   0.000142627,   0.000076181,    0.000056645
             7,             8,           128,   0.000069489,   0.000549655,   0.000432877,    0.000396176
